# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=99
# for k=1.04206e-05 to 53.4232 h/Mpc,
# number of wavenumbers equal to 243
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_tot                  7:phi                    8:psi                
       1.125187501919e-02      -7.042082129970e-01      -1.080982920827e+01      -1.131150641257e+01      -7.318350474393e-01      -1.093276445029e+01       4.612013282052e-01       4.608828113845e-01 
       1.214949517534e-02      -8.155139788822e-01      -1.221113390443e+01      -1.288000953720e+01      -7.173417884705e-01      -1.243273056290e+01       4.497046477077e-01       4.493460291301e-01 
       1.311872312515e-02      -8.157583115919e-01      -1.374692461965e+01      -1.463625542625e+01      -6.261696188314e-01      -1.410420163798e+01       4.374437618658e-01       4.372364743393e-01 
       1.416527139199e-02      -6.791461476172e-01      -1.541687950584e+01      -1.659556720596e+01      -5.059755035065e-01      -1.595979333694e+01       4.244247626156e-01       4.244400113840e-01 
       1.529530821666e-02      -4.699376115406e-01      -1.721604391626e+01      -1.877252670708e+01      -4.415247099462e-01      -1.801274992807e+01       4.107135212391e-01       4.108766579647e-01 
       1.651549391176e-02      -3.289921999170e-01      -1.913374317457e+01      -2.118043906359e+01      -4.809760968180e-01      -2.027526181125e+01       3.963851931730e-01       3.965406305856e-01 
       1.783302010906e-02      -3.695853725805e-01      -2.115251831402e+01      -2.383071405799e+01      -5.632834177870e-01      -2.275521007479e+01       3.814649424119e-01       3.815017238224e-01 
       1.925565206518e-02      -5.393601246496e-01      -2.324751361691e+01      -2.673216218062e+01      -5.582043296011e-01      -2.545364098165e+01       3.659178768753e-01       3.658561174610e-01 
       2.079177376287e-02      -6.201608970821e-01      -2.538588523241e+01      -2.989009164985e+01      -4.396404211583e-01      -2.836592596643e+01       3.497117238367e-01       3.496585489884e-01 
       2.245043293693e-02      -4.764514904665e-01      -2.752806465943e+01      -3.330556189464e+01      -3.651298100086e-01      -3.148642015320e+01       3.329003521595e-01       3.329149573374e-01 
       2.424137103356e-02      -2.974365263168e-01      -2.963045918617e+01      -3.697502545642e+01      -4.290895030734e-01      -3.480981516435e+01       3.156227614315e-01       3.156586655394e-01 
       2.617497906706e-02      -3.528279960914e-01      -3.165137331764e+01      -4.089064034245e+01      -4.455477644358e-01      -3.832573026975e+01       2.980229765530e-01       2.980251376351e-01 
       2.826199580117e-02      -4.875031497953e-01      -3.356122969852e+01      -4.504120425696e+01      -3.260239608905e-01      -4.201688706360e+01       2.802300528384e-01       2.802218619242e-01 
       3.051249938368e-02      -4.152192729306e-01      -3.535607341701e+01      -4.941294037981e+01      -3.225875941425e-01      -4.586946832783e+01       2.624408103920e-01       2.624574850848e-01 
       3.293336996241e-02      -4.219579384597e-01      -3.707478279297e+01      -5.398957230671e+01      -3.620192932151e-01      -4.987999512182e+01       2.449538447040e-01       2.449750300311e-01 
       3.552331487209e-02      -6.107091271222e-01      -3.881906552517e+01      -5.875116049842e+01      -2.550170149409e-01      -5.404727372699e+01       2.281137752425e-01       2.281205949723e-01 
       3.826582157097e-02      -4.338230838958e-01      -4.076033863376e+01      -6.367027968244e+01      -2.862189304749e-01      -5.836910810155e+01       2.122976521998e-01       2.123030675339e-01 
       4.112404724210e-02      -1.655510164932e-01      -4.311809161935e+01      -6.870873571037e+01      -2.588449325083e-01      -6.284994197978e+01       1.979134831914e-01       1.979180774062e-01 
       4.404493043681e-02      -2.094255879478e-01      -4.610378030051e+01      -7.382218109729e+01      -2.158473248332e-01      -6.749308263293e+01       1.852720469789e-01       1.852688629383e-01 
       4.697466956366e-02      -2.941960795755e-01      -4.985196373509e+01      -7.897197881509e+01      -2.487262706760e-01      -7.228394169495e+01       1.744390023633e-01       1.744394895827e-01 
