# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_dmeff          13:T_dmeff               14:Vrel_dmeff            15:dkappa_dmeff          16:dkappaT_dmeff         17:cdmeff2               18:(.)rho_lambda         19:(.)rho_ur             20:(.)rho_crit           21:(.)rho_tot            22:(.)p_tot              23:(.)p_tot_prime        24:gr.fac. D             25:gr.fac. f          
       1.155280818100e+12       5.663944980910e-22       4.012454155600e-07       2.879233390501e+18       1.415189798840e+04       1.224974721874e-08       1.634941628572e+16       2.316594739259e-07       4.901503555354e+36       3.840039536496e+27       1.715620716128e+14       2.060589151624e+28       3.148717845575e+12       0.000000000000e+00       4.564123969900e+16       6.278164355642e+12       3.474353168051e+03       3.530299370118e-08       3.388481337174e+36       8.289984916974e+36       8.289984916974e+36       2.763328297509e+36      -2.754747409789e+43       5.378423538392e-05       2.015793071917e-01 
       1.142929229996e+12       5.787026506001e-22       4.055818862980e-07       2.817996340018e+18       1.415189798839e+04       1.238212972157e-08       1.617461787087e+16       2.341630081127e-07       4.695225238842e+36       3.718185283442e+27       1.661179693087e+14       1.995201399874e+28       3.115053592431e+12       0.000000000000e+00       4.443108055042e+16       6.111701348034e+12       3.437608665175e+03       3.530299370118e-08       3.245878109844e+36       7.941103372356e+36       7.941103372356e+36       2.647034449562e+36      -2.610602019790e+43       5.390077355705e-05       2.011434751978e-01 
       1.130709697862e+12       5.912782677509e-22       4.099656507606e-07       2.758061711342e+18       1.415189798839e+04       1.251594287653e-08       1.600168829864e+16       2.366935978868e-07       4.497628083811e+36       3.600197776771e+27       1.608466222622e+14       1.931888568336e+28       3.081749257849e+12       0.000000000000e+00       4.325300828600e+16       5.949652040267e+12       3.401265941713e+03       3.530299370118e-08       3.109276296841e+36       7.606904403571e+36       7.606904403571e+36       2.535634793551e+36      -2.473999206430e+43       5.401731173021e-05       2.007095237509e-01 
       1.118620809832e+12       6.041271621793e-22       4.143967089476e-07       2.699401803880e+18       1.415189798839e+04       1.265120214463e-08       1.583060758844e+16       2.392515356395e-07       4.308346746167e+36       3.485954314754e+27       1.557425485084e+14       1.870584814497e+28       3.048800993750e+12       0.000000000000e+00       4.210617213460e+16       5.791899404823e+12       3.365279949437e+03       3.530299370118e-08       2.978423330432e+36       7.286770098790e+36       7.286770098790e+36       2.428923358866e+36      -2.344544295538e+43       5.413384990339e-05       2.002774407083e-01 
       1.106661169136e+12       6.172552718900e-22       4.188750608591e-07       2.641989506191e+18       1.415189798838e+04       1.278792315395e-08       1.566135597333e+16       2.418371169162e-07       4.127031257213e+36       3.375336089299e+27       1.508004400387e+14       1.811226385195e+28       3.016204993280e+12       0.000000000000e+00       4.098974388353e+16       5.638329517200e+12       3.329691736201e+03       3.530299370118e-08       2.853077272121e+36       6.980108550821e+36       6.980108550821e+36       2.326702843111e+36      -2.221863264731e+43       5.425038807661e-05       1.998472140263e-01 
       1.094829393937e+12       6.306686649783e-22       4.234007064952e-07       2.585798283453e+18       1.415189798838e+04       1.292612170146e-08       1.549391389768e+16       2.444506404627e-07       3.953346376581e+36       3.268228062401e+27       1.460151572815e+14       1.753751550319e+28       2.983957490196e+12       0.000000000000e+00       3.990291727921e+16       5.488831473478e+12       3.294450930990e+03       3.530299370118e-08       2.733006365321e+36       6.686352762708e+36       6.686352762708e+36       2.228784247301e+36      -2.105601662786e+43       5.436692624985e-05       1.994188317703e-01 
       1.083124117171e+12       6.443735403605e-22       4.279772838345e-07       2.530802165202e+18       1.415189798837e+04       1.306581375486e-08       1.532826201497e+16       2.470924082468e-07       3.786970972393e+36       3.164518846501e+27       1.413817237567e+14       1.698100538611e+28       2.952054758606e+12       0.000000000000e+00       3.884490744611e+16       5.343297310387e+12       3.259593898898e+03       3.530299370118e-08       2.617988606854e+36       6.404959599393e+36       6.404959599393e+36       2.134986526416e+36      -1.995423585558e+43       5.448346442312e-05       1.989922821022e-01 
       1.071543986392e+12       6.583762324881e-22       4.326011548983e-07       2.476975733328e+18       1.415189798837e+04       1.320701545441e-08       1.516438118548e+16       2.497627255050e-07       3.627597427512e+36       3.064100588655e+27       1.368953209007e+14       1.644215475508e+28       2.920493112391e+12       0.000000000000e+00       3.781495031895e+16       5.201621927198e+12       3.225090997339e+03       3.530299370118e-08       2.507811336478e+36       6.135408783496e+36       6.135408783496e+36       2.045136254663e+36      -1.891010705479e+43       5.460000259642e-05       1.985675532894e-01 
       1.060087663610e+12       6.726832129760e-22       4.372759576654e-07       2.424294110325e+18       1.415189798836e+04       1.334974311478e-08       1.500225247415e+16       2.524619007692e-07       3.474931070774e+36       2.966868858366e+27       1.325512830551e+14       1.592040322954e+28       2.889268904874e+12       0.000000000000e+00       3.681230209157e+16       5.063703009923e+12       3.190949894500e+03       3.530299370118e-08       2.402270843693e+36       5.877201933355e+36       5.877201933355e+36       1.959067304822e+36      -1.792061351844e+43       5.471654076975e-05       1.981446336966e-01 
       1.048753825145e+12       6.873010941759e-22       4.420016921358e-07       2.372732947795e+18       1.415189798836e+04       1.349401322698e-08       1.484185714836e+16       2.551902459063e-07       3.328689632167e+36       2.872722538984e+27       1.283450926150e+14       1.541520821126e+28       2.858378528363e+12       0.000000000000e+00       3.583623867947e+16       4.929440957378e+12       3.157170379518e+03       3.530299370118e-08       2.301171991097e+36       5.629861641552e+36       5.629861641552e+36       1.876620541088e+36      -1.698289639222e+43       5.483307894311e-05       1.977235117879e-01 
